q1_named_function,q1_score,q2_measurable_outcome,q2_score,q3_tense,q3_score,classification_score,classification,justification,passage_id,firm,year,page_number,tier,source_document,source_type,llm_model,passage_text,validation_sample,human_label,agreement
NO,0,NO,0,CURRENT,1,1,Symbolic,"The passage references 'AI customer service' only in passing within broader macroeconomic and industry trend commentary, with no named specific AI application or measurable outcome, meeting the automatic Symbolic threshold under Step 2(d) and (h).",e46b6ded,AO World,2022,19,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,Technology and automation Responsible retailing continue to be crucial to the online is gaining traction shopper experience A growing population of younger shoppers are wielding influence on consumer spending and pushing Emerging retail technology trends are shifting the the agenda on responsible re,no,,
NO,0,NO,0,CURRENT,1,1,Symbolic,"The passage is partially fragmented and mentions AI only generically in the context of customer service and seamless experience without naming any specific AI application or tool, yielding a score of 1 which falls within the Symbolic range.",ebd05570,AO World,2022,19,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"This consumer landscape of online shopping. From easy automation to segment prioritises brands that embed social and artificial intelligence (“AI”) customer service, technology environmental responsibility to their everyday business has already been paving the way for a more seamless model7. In 2021",no,,
NO,0,NO,0,MIXED,1,1,Symbolic,"Despite a passing reference to AI customer service and augmented reality, no specific named AI application or system is identified, and the 25% retail spend figure relates to demographic data rather than any AI deployment, yielding a score of 1 which falls within the Symbolic range.",85857645,AO World,2022,19,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"From easy automation to segment prioritises brands that embed social and artificial intelligence (“AI”) customer service, technology environmental responsibility to their everyday business has already been paving the way for a more seamless model7. In 2021, Gen Z and Millennials accounted for custom",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"Machine learning is mentioned only generically as a driver of expected future efficiency improvements following MarTech upgrades, with no named specific AI application and no quantified outcomes — the language is aspirational ('we expect to see') rather than describing a currently deployed system.",38ab3163,AO World,2022,23,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"Strategic Report Marketing We continued to invest in marketing channels during the year, and we saw a significant uplift in orders from existing customers. Upgrading our MarTech1 capability remained a priority in FY22 following on from large-scale migrations in FY21. As a result of these upgrades, w",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"A specific named AI application — a bespoke data-driven attribution model — is identified as currently deployed, and machine learning adoption is referenced in the context of MarTech upgrades, but no quantified metrics or measurable outcomes are provided to support a Substantive classification.",f9490b65,AO World,2022,23,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"Upgrading our MarTech1 capability remained a priority in FY22 following on from large-scale migrations in FY21. As a result of these upgrades, we expect to see improved efficiency, driven by an ever-increasing adoption of machine learning and automation. Our bespoke data-driven attribution model lau",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"A specific named AI application — a bespoke data-driven attribution model for measuring and optimising marketing performance — is described as currently deployed ('launched earlier this year'), satisfying Q1 and Q3, but no quantified metrics or measurable outcomes are provided, keeping the score at 2 and the classification at Transitional.",aa6ae634,AO World,2022,23,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"As a result of these upgrades, we expect to see improved efficiency, driven by an ever-increasing adoption of machine learning and automation. Our bespoke data-driven attribution model launched earlier this year, and this has delivered a step change in how we measure and optimise marketing performan",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"AI is mentioned only as a potential threat whose benefits and risks are 'still yet to be fully understood,' matching automatic Symbolic category (c) — a risk disclosure about AI as an industry threat — with no named application, no measurable outcome, and no current deployment.",03aff2d9,AO World,2023,46,tier1,AOWorld_2023.pdf,annual_report,claude-sonnet-4-6,"Control and mitigation y Linked to this are the transitional risks of climate change; The Group has in place an £80m revolving credit facility and at 31 March as we seek to move towards reducing our carbon footprint 2023 cash balances of £19.1m and operating in a more environmentally friendly way, w",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage contains only a vague risk disclosure about AI as a potential industry threat and an aspirational statement about harnessing the technology, with no named AI application, no measurable outcome, and no evidence of current deployment — triggering automatic Symbolic under Step 2 criteria (c) and (g).",00fa5975,AO World,2023,46,tier1,AOWorld_2023.pdf,annual_report,claude-sonnet-4-6,"closure of the German business, the Group’s underlying business is now y Whilst an opportunity in many ways, the benefits and cash generative. potential threats that Artificial Intelligence (AI) may pose Our three-year plan models the impact of reduced market share in the are still yet to be fully u",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage contains only risk disclosure language about AI as a potential industry threat and vague aspirational intent to 'harness' AI, with no named specific AI application, no measurable outcomes, and no evidence of current deployment — triggering Automatic Symbolic category (c) and scoring 0 across all diagnostic questions.",45ef5394,AO World,2023,46,tier1,AOWorld_2023.pdf,annual_report,claude-sonnet-4-6,"potential threats that Artificial Intelligence (AI) may pose Our three-year plan models the impact of reduced market share in the are still yet to be fully understood. AO will look to harness UK; a number of different scenarios have been modelled to ensure we this developing technology, however ther",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"AI, machine learning, and advanced analytics are mentioned only generically as tools to 'enhance business decisions' with no named specific application or function, no measurable outcomes, and the language is entirely future-oriented ('this year we will continue'), satisfying the automatic Symbolic criteria for a pure aspirational statement with no named application.",30364922,AO World,2024,25,tier1,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"Priorities for FY25 This year will see us begin the second phase of our Enterprise Resource Planning transformation, which will ultimately streamline our business operations and give us a solid foundation for future growth. We will continue our application modernisation agenda, replacing other key s",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references 'advanced analytics, machine learning and artificial intelligence' and 'personalisation' only in generic, future-tense terms with no named specific AI application, no measurable outcomes, and no evidence of current deployment.",bd550eae,AO World,2024,25,tier_1_and_2,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"We will continue our application modernisation agenda, replacing other key systems such as our Contact Centre platform, which will help us to further digitalise and enhance our customers’ post-sales experience. Information is vital to the effective and efficient operation of our business and, as suc",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage references 'advanced analytics, machine learning and artificial intelligence' and 'personalisation' only in generic, future-tense terms ('this year we will continue') with no named specific AI application and no measurable outcomes, satisfying the automatic Symbolic criteria for pure aspirational statements with no named application.",a5cf77d8,AO World,2024,25,tier_1_and_2,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"Information is vital to the effective and efficient operation of our business and, as such, this year we will continue to enhance business decisions across the business using advanced analytics, machine learning and artificial intelligence. Technology will also play a key role in enhancing customer ",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"AI is mentioned only as a generic risk/opportunity disclosure ('benefits and potential threats that Artificial Intelligence may pose') with no named application, no measurable outcome, and no evidence of deployment, triggering Automatic Symbolic category (c) — risk disclosure about AI as an industry threat.",d7d7b22f,AO World,2024,49,tier1,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"insurers cause them to reduce our payment terms this could have an effect on our cash resources. y The transitional risks of climate change; as we seek to move towards reducing our carbon footprint and operating in a more environmentally friendly way, we could face Control and mitigation increased o",no,,
