passage_id,firm,year,page_number,passage_text,llm_label,human_label
6edb2c18,Zalando,2024,91,"New features include voice interaction and Trend Spotter integration, enabling users to explore weekly fashion trends. Building on a successful partnership, Zalando and OpenAI will continue collaborating to develop even more generative AI solutions for the fashion industry. Zalando SE ANNUAL REPORT ",Transitional, Transitional
c585e23f,Allegro,2023,104,"corruption prevention, competition law compliance, across all the Group’s operating companies. How- prevention of conflicts of interest, information ever, at the same time the Group recognises that, • Output generated by AI can breach third party’s • There is no currently applicable law in the field",Symbolic, Symbolic
df0a61e5,DocMorris,2025,8,The PhD molecular biologist and AI expert brings extensive leadership experience from Roche and Bayer and is a co-founder of the “Alliance for Artificial Intelligence in Healthcare”. Closure of Ludwigshafen site — DocMorris will close the Lud- wigshafen site by the end of June 2026. Logistics will b,Symbolic, Symbolic
73090b3e,Allegro,2023,164,"For merchants, digital prowess is innovate with artificial intelligence. Beyond bringing knowledge. Through these platforms, plus company dedicated to female technology leaders to grow a gateway to profitable growth.",Symbolic,Symbolic
201ec642,Allegro,2022,102,The proposal lished on 30 June are soon to be finalised. Proposal 2001/95/EC of the European Parliament and of the be published in Q2 2023. The Regulation will be defines Artificial Intelligence; prohibits the use of introduces a number of additional reporting re- Council of 3 December 2001 on gener,Symbolic, Symbolic
915d217d,Zalando,2025,199,"To enhance the accessibility of our EAP, we have expanded our partnership with certified counsellors. This provides our employees with support that is tailored to a diverse range of languages, cultural backgrounds and gender expressions. — To ensure compliance with EU artificial intelligence (AI) re",Symbolic, Symbolic
fc7b4e50,About You,2023,46,"This increase efficiency both internally, as well as The uniform regulation of social and represents one of the essential opportunities along the customer journey. A specific environmental standards along the supply identified, which allows ABOUT YOU to example is the new AI assistant MAYA, which ch",Transitional, Transitional
f063d1bc,Redcare Pharmacy,2025,54,"In order to mitigate this risk, we also identified planet Earth as a silent topic level. Within each topic, the highest IRO score determined its position in the stakeholder and leveraged an LLM to integrate the environmental perspective. Suppliers materiality matrix.",Symbolic, Symbolic
96d0aa7e,DocMorris,2025,18,"DocMorris | Annual Report 2025 | Segment Germany The use of artificial intelligence further increased productivity in the segments. The targeted use of AI-supported solutions – particu- larly in content creation, customer service and data analysis – has led to sustainable improvements in operational",Transitional, Transitional 
562619f8,HelloFresh,2025,19,"In 2025, HelloFresh Group capitalized MEUR 47.4 (or 23.8% of total technology expenditure) of technology costs focused on strategic technology initiatives in customer engagement, supply chain optimization, and operational foundations (2024: MEUR 47.7, or 22.2%). This amount remains stable, even as w",Symbolic, Symbolic
292f2b8f,Mytheresa,2023,29,"These new technologies, including artificial intelligence technologies, may also generate output that is misleading, insecure, inaccurate, harmful, or otherwise flawed, which may harm our reputation, business, or customers, or expose us to legal liability. We may be exposed to competitive risks rela",Symbolic, Symbolic
