q1_named_function,q1_score,q2_measurable_outcome,q2_score,q3_tense,q3_score,classification_score,classification,justification,passage_id,firm,year,page_number,tier,source_document,source_type,llm_model,passage_text,validation_sample,human_label,agreement
YES,1,NO,0,CURRENT,1,2,Transitional,"The passage names AI customer service as a specific application and uses present/past tense ('has already been paving the way'), but provides no measurable outcomes, metrics, or timelines to substantiate the claim.",e5a51b67,AO World,2022,19,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,Technology and automation Responsible retailing continue to be crucial to the online is gaining traction shopper experience A growing population of younger shoppers are wielding influence on consumer spending and pushing Emerging retail technology trends are shifting the the agenda on responsible re,no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names AI customer service as a specific application and references current deployment ('has already been paving the way'), but lacks measurable outcomes and the text appears fragmented and incomplete, limiting its specificity.",192a07cb,AO World,2022,19,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"This consumer landscape of online shopping. From easy automation to segment prioritises brands that embed social and artificial intelligence (“AI”) customer service, technology environmental responsibility to their everyday business has already been paving the way for a more seamless model7. In 2021",no,,
YES,1,YES,1,MIXED,1,3,Substantive,"The passage names AI customer service as a specific function and references a measurable metric (Gen Z and Millennials accounting for 25% of UK retail spend in 2021), with mixed tense indicating both current deployment and forward-looking framing, though the overall passage is fragmented and the AI application lacks deep operational detail.",ee89cd87,AO World,2022,19,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"From easy automation to segment prioritises brands that embed social and artificial intelligence (“AI”) customer service, technology environmental responsibility to their everyday business has already been paving the way for a more seamless model7. In 2021, Gen Z and Millennials accounted for custom",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names a specific function (marketing/MarTech) and references current investments and past migrations (FY21/FY22), but the machine learning and automation benefits are framed as expected future outcomes without measurable metrics.",5d9d464d,AO World,2022,23,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"Strategic Report Marketing We continued to invest in marketing channels during the year, and we saw a significant uplift in orders from existing customers. Upgrading our MarTech1 capability remained a priority in FY22 following on from large-scale migrations in FY21. As a result of these upgrades, w",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names a specific deployed application (bespoke data-driven attribution model for marketing performance) and references current implementation, but lacks concrete metrics or quantified outcomes, with future efficiency gains described only in vague terms.",a0dab12f,AO World,2022,23,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"Upgrading our MarTech1 capability remained a priority in FY22 following on from large-scale migrations in FY21. As a result of these upgrades, we expect to see improved efficiency, driven by an ever-increasing adoption of machine learning and automation. Our bespoke data-driven attribution model lau",no,,
YES,1,NO,0,MIXED,1,2,Transitional,"The passage names a specific deployed application (data-driven attribution model for marketing performance) with current implementation, but lacks quantified metrics or measurable outcomes to elevate it to Substantive.",c06c2c22,AO World,2022,23,tier1,AOWorld_2022.pdf,annual_report,claude-sonnet-4-6,"As a result of these upgrades, we expect to see improved efficiency, driven by an ever-increasing adoption of machine learning and automation. Our bespoke data-driven attribution model launched earlier this year, and this has delivered a step change in how we measure and optimise marketing performan",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The AI reference is entirely vague and speculative, describing only that 'benefits and potential threats' of AI 'are still yet to be fully understood,' with no specific function, application, metric, or evidence of deployment.",125643b1,AO World,2023,46,tier1,AOWorld_2023.pdf,annual_report,claude-sonnet-4-6,"Control and mitigation y Linked to this are the transitional risks of climate change; The Group has in place an £80m revolving credit facility and at 31 March as we seek to move towards reducing our carbon footprint 2023 cash balances of £19.1m and operating in a more environmentally friendly way, w",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage offers only vague acknowledgment of AI as an opportunity and threat with no specific business function, measurable outcome, or evidence of current deployment, using purely forward-looking and uncertain language.",5d29e831,AO World,2023,46,tier1,AOWorld_2023.pdf,annual_report,claude-sonnet-4-6,"closure of the German business, the Group’s underlying business is now y Whilst an opportunity in many ways, the benefits and cash generative. potential threats that Artificial Intelligence (AI) may pose Our three-year plan models the impact of reduced market share in the are still yet to be fully u",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage discusses AI only in terms of vague future risks and aspirations ('will look to harness'), naming no specific business function or measurable outcome, making it entirely symbolic risk-disclosure language.",ede7bd61,AO World,2023,46,tier1,AOWorld_2023.pdf,annual_report,claude-sonnet-4-6,"potential threats that Artificial Intelligence (AI) may pose Our three-year plan models the impact of reduced market share in the are still yet to be fully understood. AO will look to harness UK; a number of different scenarios have been modelled to ensure we this developing technology, however ther",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While business decisions and Contact Centre modernisation are named as functions, the AI/ML reference is entirely forward-looking ('this year we will continue') with no measurable outcomes, metrics, or evidence of current deployment, making it largely aspirational and vague.",8da81300,AO World,2024,25,tier1,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"Priorities for FY25 This year will see us begin the second phase of our Enterprise Resource Planning transformation, which will ultimately streamline our business operations and give us a solid foundation for future growth. We will continue our application modernisation agenda, replacing other key s",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While specific functions are named (Contact Centre platform, post-sales experience, business decisions), all AI/ML activity is framed in future tense ('will continue', 'will also play') with no measurable outcomes or evidence of current deployment.",5a80b553,AO World,2024,25,tier_1_and_2,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"We will continue our application modernisation agenda, replacing other key systems such as our Contact Centre platform, which will help us to further digitalise and enhance our customers’ post-sales experience. Information is vital to the effective and efficient operation of our business and, as suc",no,,
YES,1,NO,0,ASPIRATIONAL,0,1,Symbolic,"While business decisions and customer experience personalisation are named as application areas, the language is entirely forward-looking ('will continue', 'will also play') with no measurable outcomes, metrics, or evidence of current deployment.",56d4c436,AO World,2024,25,tier_1_and_2,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"Information is vital to the effective and efficient operation of our business and, as such, this year we will continue to enhance business decisions across the business using advanced analytics, machine learning and artificial intelligence. Technology will also play a key role in enhancing customer ",no,,
NO,0,NO,0,ASPIRATIONAL,0,0,Symbolic,"The passage only vaguely references AI as posing unspecified 'benefits and potential threats' with no named application, measurable outcome, or evidence of current deployment.",a46aac8f,AO World,2024,49,tier1,AOWorld_2024.pdf,annual_report,claude-sonnet-4-6,"insurers cause them to reduce our payment terms this could have an effect on our cash resources. y The transitional risks of climate change; as we seek to move towards reducing our carbon footprint and operating in a more environmentally friendly way, we could face Control and mitigation increased o",no,,
