passage_id,firm,year,page_number,passage_text,llm_label,human_label
be7dd216,Allegro,2023,164,"It employs state-of-the-art machine learning methods, involving human including the PFR School of Pioneers and partner- performing text searches, the company uses deep evaluators and automatic quality estimation models to enhance translation quality continually. Its goal is to make the A llegro plat",Substantive,
82af3b20,DocMorris,2025,18,"AI assistant as a guide for the health platform — In the past fi- nancial year, DocMorris continued to drive forward its ""AI First"" strategy. DocMorris is transforming treatment pathways into a pre- dictive, AI-supported health platform that completely redefines convenience and digital services for ",Transitional,
74db5344,Zalando,2025,13,"members of the supervisory board committees. Additionally, the supervisory board reviewed the status and anticipated next steps regarding the voluntary public takeover offer by Zalando to the shareholders of ABOUT YOU Holding SE. Further, our CPO Dr Astrid Arndt gave an update on the area of people,",Symbolic,
cd780ae6,Allegro,2021,71,"types of goods that merchants offer on its mar- the foregoing were to occur, the Group's business, ANTICIPATED GROWTH EFFECTIVELY. In addition, machine learning and other forms of ketplace. The popularity of certain categories of results of operations and financial conditions could artificial intell",Symbolic,
0b9eb23a,Moonpig,2022,26,proportion of our technology resource will be focused • Improving the recipient experience to accelerate • Artificial Intelligence-driven Customer • Ongoing programme of improvements in user on the development of consumer-facing and revenue- network effects. Relationship Management. experience and p,Transitional,
8f89cb75,Allegro,2021,76,Although the Group insures If the transaction is not finalized before the end user claims that purchases or payments were not Inventory risk may adversely affect the Group’s op- itself against such losses to a level and at a cost it of the Acquired Entities’ fiscal year 2022 (ending properly authori,Transitional,
6edb2c18,Zalando,2024,91,"New features include voice interaction and Trend Spotter integration, enabling users to explore weekly fashion trends. Building on a successful partnership, Zalando and OpenAI will continue collaborating to develop even more generative AI solutions for the fashion industry. Zalando SE ANNUAL REPORT ",Transitional,
1d6b6d95,Allegro,2023,114,"ALLEGRO.EU S.A. GROUP CONSOLIDATED MANAGEMENT REPORT for the year ended 31 December 2023 WORKS ON THE NEW EU LEGAL CONSUMER CREDIT REGULATIONS PRODUCT SAFETY FRAMEWORK FOR AI Works on the review of EU Consumer Credit Di- Retailers who place products on the market in the In Poland, the Directive on P",Symbolic,
dcb32886,Zalando,2024,12,"In particular, the supervisory board dealt with the inspiration and entertainment pillar in the group’s B2C strategy as well as the logistics network strategy 2028 updated according to the company’s new strategic ambitions. The supervisory board further discussed Zalando’s initiatives and potential ",Symbolic,
01d404d3,Zalando,2025,185,"We work with multiple producer responsibility organisations across our markets to ensure responsible collection, recycling and disposal of products and packaging. We are currently developing a scalable EPR solution, which is not yet applicable to ABOUT YOU. As a crucial first step towards achieving ",Symbolic,
b5a607da,Allegro,2025,163,"• Unfair or misleading advertising and false pro- ated by A llegro One Box was carefully developed by The aforementioned actions involve monitoring In 2025, Allegro introduced a more restrictive and motions the Customer Experience Team based on “Internal offers, verifying them, and in the event of a",Transitional,
30364922,AO World,2024,25,"Priorities for FY25 This year will see us begin the second phase of our Enterprise Resource Planning transformation, which will ultimately streamline our business operations and give us a solid foundation for future growth. We will continue our application modernisation agenda, replacing other key s",Symbolic,
765b94eb,Zalando,2024,92,"As part of our focus on strengthening our tech capabilities, Zalando utilised generative AI to scale the creation of product background images, thus enhancing content, reducing costs and increasing customer engagement. Additionally, the establishment of a new tech site in Shenzhen will combine local",Transitional,
