passage_id,firm,year,human_label,old_llm_label,new_llm_label,justification,agreement,changed_from_original
da158643,HelloFresh,2025,Symbolic,Transitional,Symbolic,"Generative AI is referenced only as a subject of a compliance policy, not as a named operational application — this falls under Step 2 automatic Symbolic category (b/g), as it describes a regulatory/governance framework rather than any deployed AI function.",True,True
569d0bec,Zalando,2025,Symbolic,Transitional,Symbolic,"AI is mentioned only generically as part of a broader environmental context ('artificial intelligence, geopolitical dyn...') with no named application, no measurable outcome, and the passage is forward-looking and aspirational in tone, satisfying the automatic Symbolic criteria under Step 2g.",True,True
c453af1d,THG,2025,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is so broken and incoherent that no identifiable AI-related claim, named application, or measurable outcome can be extracted.",True,True
cfc9b248,Allegro,2023,Transitional,Substantive,Transitional,"The passage names specific AI applications (Computer Vision, machine learning image processing, reranking and personalisation architectures) currently deployed, but is fragmentary and provides no measurable outcomes, yielding a Transitional classification.",True,True
6e401e5d,Zalando,2025,Symbolic,Transitional,Symbolic,"The passage contains no AI-related content whatsoever — it describes supervisory board committee activity, a takeover offer review, and a CPO update on people matters — and therefore scores 0 across all three diagnostic questions.",True,True
907946ff,Allegro,2023,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is too broken and incoherent to extract any identifiable AI application, deployment description, or measurable outcome; the only AI-related fragment ('Content created by artificial intelligence does') is incomplete and yields no classifiable claim.",True,False
9af11ea0,Allegro,2025,Symbolic,Symbolic,Symbolic,"The passage is heavily fragmented and the only AI reference — 'content created by artificial intelligence does not have own' — is an incomplete sentence that names no specific AI application, provides no measurable outcome, and cannot be assessed for deployment status, meeting the FRAGMENTED TEXT threshold for Symbolic classification.",True,False
87de711c,Zalando,2025,Symbolic,Substantive,Symbolic,"The passage contains no AI-related content whatsoever — it describes Extended Producer Responsibility (EPR) and recycling operations — and therefore scores 0 on Q1 and Q2, resulting in a Symbolic classification.",True,True
00b389ab,Moonpig,2024,Symbolic,Symbolic,Symbolic,"Automatic Symbolic applied under Step 2(a): the passage exclusively describes Board-level training on artificial intelligence as a governance topic, with no named AI application, system, or measurable operational outcome.",True,False
ee522d88,Boozt,2024,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is heavily fragmented and incoherent, referencing 'transfer cells at the BFC' and generic language about 'performance, scalability, and innovation' but containing no identifiable AI application, named function, or measurable outcome that can be reliably extracted.",True,True
e55f892e,Mytheresa,2025,Symbolic,Symbolic,Symbolic,"The passage describes general IT system investment and upgrades without naming any specific AI application, tool, or function, and contains no measurable AI-related outcomes, resulting in a score of 1 (Symbolic).",True,False
6d8df2b6,Mytheresa,2023,Symbolic,Symbolic,Symbolic,"The passage contains only generic macroeconomic commentary about AI as a technology trend with no named specific AI application, no measurable outcomes, and forward-looking speculative language about future disruption, triggering automatic Symbolic classification under Step 2 criterion (c/d).",True,False
a0f066ce,HelloFresh,2025,Symbolic,Symbolic,Symbolic,"Automatic Symbolic under Step 2(d): the passage is purely macroeconomic commentary about AI investment trends in the broader economy, with no named AI application, no measurable outcome linked to the reporting firm, and no evidence of current deployment.",True,False
