chunk_id,firm,year,page,chunk_text,contains_tier1,contains_tier2,rejection_reason,human_label_ai_relevant,original_label,recode_reason
REC001,DocMorris,2025,8,"DocMorris | Annual Report 2025 | Letter to Shareholders Partnership with Google to accelerate the implementation of the “AI First” platform strategy — We are accelerating the expansion of our AI-powered health platform through the partnership with Google. The partnership focuses on the following core areas to set new standards for the patient journey and significantly enhancing operational performance: 1. AI health companion: Utilising Gemini models and Google as- sets such as YouTube Health and Health Connect, DocMorris is further developing the personal digital health companion.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", Yes,,
REC002,HelloFresh,2024,38,"The company operates in multiple markets, serving a large customer base, which provides insights into consumer preferences and enables product innovation. HelloFresh continuously expands meal choices, enhances personalization, and optimizes convenience to strengthen customer engagement. Additionally, its digital capabilities and workforce expertise support ongoing improvements in marketing, logistics, and user experience, contributing to its ability to compete effectively in a dynamic food solutions market.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", No,,
REC003,Mytheresa,2022,53,"Our emphasis on exceptional service is inherent throughout all customer touchpoints, including our sites, customer care, delivery and global personal shopping team. For example, we provide customers with personalized product recommendations, last-minute deliveries, and hand-signed notes with our delivered products to personally connect and provide the high-touch service our customers enjoy. Our customer satisfaction with our service and experience is evidenced by our best-in-class net promoter score (“NPS”) of 80.9% , which is an annualized average of weekly measurements conducted by us in fiscal 2022.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", No,,
REC004,Allegro,2021,125,"As wildlife protection is extremely important for One Fulfillment by Allegro is a comprehensive ser- plant a tree with a personalised dedication to the Allegro, we have been cooperating for years with vice for merchants that includes storing, packaging customer. This is only the beginning, with new en- PTOP Salamandra – Polish Nature Conservation and delivering orders, as well as providing customer vironmentally friendly initiatives underway as the SECOND LIFE OF PRODUCTS – ALLEGRO Society. Our main goal is to eliminate offers of en- service throughout the delivery process.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", No,,
REC005,AO World,2025,18,"leader in MDA in the UK with a 16% share of the We will further enhance our personalisation total market, which provides us with a strong and capabilities, with new tools and data models aimed resilient base from which to grow. Our strategy is to at delivering more relevant and engaging customer invest prudently in the business, seize the significant journeys across channels. market opportunities that we see in front of us, and Finally, we will build on our progress in technology leverage our growing and loyal customer base.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", No,,
REC006,THG,2025,6,"n W e e M a D ls o s h u a b ve s e b q e u e e n n t t r ly a n d s iv fo e r s m t C at l i a v r e e . m Th o e n s t e In a g c r t e io d n ie s n ts l l i e c a e d n e s r i s n h g i p s t i r n a t B e e g a y u a ty n d to l e d v e e e ra p g e e n o c u u r s t d o ig m it e a r l continuing CCY revenue growth since 2021, waived the maximum amount of my annual expanded the reach of our luxury spa brand, represent a deliberate strategy to simplify relationships through innovation and supported by an encouraging second half salary permissible by law, resulting in me ESPA, by launching in over 100 M&S stores, the Group, enhance our operational focus on personalisation. and clear exit momentum.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", No,,
REC007,Zalando,2024,296,"Nature of operating activities Zalando is a European online fashion and lifestyle platform. The Berlin-based company offers its customers a one-stop inspirational and convenient shopping experience with an extensive selection of lifestyle articles including shoes, apparel, accessories and beauty products, with predominantly free delivery and returns as well as diverse payment options wrapped into an inspirational and personalised digital customer experience. For more information on Zalando’s business model and its nature of operating activities, please refer to section 2.1.1 Business model of our combined management report.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)",No,,
REC008,Redcare Pharmacy,2024,17,"convenience and an exceptional retail and service experience. Additionally, we prioritise Our in-house platform is tailored to meet customer needs efficiently. customer safety through advanced personalisation and medication safety checks.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", No,,
REC009,Boozt,2025,14,"Availability: shopping. Boozt’s operations leverage these trends, offering Boozt’s scale and focus on mid-to-premium brands and Innovating Nordic E-commerce The online environment offers a convenient shopping a seamless and customer-centric experience that aligns high-quality products positions the company to benefit from experience that is accessible at any time, regardless of the with the evolving needs of Nordic consumers. AI-powered E-commerce has revolutionized how consumers shop, this trend.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", Yes,,
REC010,Boozt,2025,23,"Nomination Committee (6.0%) and ATP (5.2%). • Kristian Eikre (appointed by Ferd AS) Realignment of organisation Number of shares reduced following • Claus Wiinblad (appointed by ATP) On January 13, 2025, Boozt announced the decision to realign AGM resolution • Henrik Theilbjørn, Chair of the Board of Boozt AB Number of shares reduced following its organisation, reflecting the growing impact of technology In April, in accordance with the resolution of the Annual AGM resolution and the increasing adoption of AI-powered tools across the General Meeting on 24 April 2025, Boozt cancelled 2,680,517 The Nomination Committee submits proposals to the AGM In accordance with the resolution of the Annual General Meeting entire value chain. The realignment resulted in a reduction of own ordinary shares repurchased under the Group’s share regarding the composition of the Board, remuneration of the on 24 April 2025, Boozt cancelled 2,680,517 own ordinary approximately 10% of the Group’s permanent positions, with buyback programme.",False,True,"Tier 2 present, Tier 1 absent (extraction requires Tier 1; Tier 2 alone insufficient)", Yes,,
