passage_id,firm,year,human_label,old_llm_label,new_llm_label,justification,changed
da158643,HelloFresh,2025,Symbolic,Transitional,Symbolic,"Automatic Symbolic classification under Step 2 rule (i): the passage describes an AI governance/ethics compliance policy (Generative AI listed alongside anti-corruption, competition laws, etc.) with no operational AI deployment described.",True
569d0bec,Zalando,2025,Symbolic,Transitional,Symbolic,"The passage is fragmented (text cuts off mid-sentence) and AI is mentioned only as a generic environmental factor shaping strategy with no specific application, measurable outcome, or evidence of deployment, triggering both Step 1 and Step 2 automatic Symbolic classification.",True
c453af1d,THG,2025,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT: the passage is incoherent and clearly a PDF extraction artefact with sentences cut off mid-word ('vita') and unrelated phrases mixed together, making meaning impossible to determine.",True
cfc9b248,Allegro,2023,Transitional,Substantive,Symbolic,"FRAGMENTED TEXT — the passage cuts off mid-sentence ('The team specifically concentrated on') and contains incoherent structure, making it impossible to extract meaningful AI application detail.",True
6e401e5d,Zalando,2025,Symbolic,Transitional,Symbolic,"This passage contains no mention of AI whatsoever; it describes supervisory board committee activity and a takeover offer, making it entirely irrelevant to AI classification.",True
907946ff,Allegro,2023,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT: the passage is a PDF extraction artefact with broken, incomplete sentences and incoherent grammar that makes meaning impossible to determine.",False
9af11ea0,Allegro,2025,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact with incomplete, incoherent sentences that end mid-phrase, making meaning impossible to determine.",False
87de711c,Zalando,2025,Symbolic,Substantive,Symbolic,"FRAGMENTED TEXT: the passage ends mid-sentence ('As a crucial first step towards achieving') and contains no mention of AI whatsoever, making classification as Symbolic with score 0 mandatory.",True
00b389ab,Moonpig,2024,Symbolic,Symbolic,Symbolic,"Automatic Symbolic classification applied under Step 2 category (a): the passage explicitly describes Board Directors receiving training on artificial intelligence as a topic, with no operational AI deployment described.",False
ee522d88,Boozt,2024,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact with sentences cut off mid-phrase, mixed unrelated content, and no coherent meaning can be inferred.",True
e55f892e,Mytheresa,2025,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is cut off mid-sentence ('hiring employees wit') and contains no mention of AI, making it an unreadable PDF extraction artefact.",False
6d8df2b6,Mytheresa,2023,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT: the passage is cut off mid-word ('disrup'), and the content itself constitutes a generic risk disclosure about AI as an industry trend, triggering automatic Symbolic classification under Step 1 and Step 2 category (c).",False
a0f066ce,HelloFresh,2025,Symbolic,Symbolic,Symbolic,"Automatic Symbolic classification applied under Step 2 rule (d): the passage is macroeconomic commentary about AI investment globally, describing AI as a broad economic driver rather than describing anything this company is doing or planning to do with AI.",False
bab12905,Allegro,2021,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is a PDF extraction artefact mixing table data, partial sentences, and unrelated fragments, making coherent meaning impossible to determine.",False
5a80b553,AO World,2024,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT: the passage is cut off mid-sentence ('as suc') and contains no mention of AI whatsoever, making classification as Symbolic with score 0 mandatory.",False
892b64ae,Moonpig,2024,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT: the passage is cut off mid-sentence and contains no mention of AI whatsoever, describing only standard compliance training modules on unrelated topics.",True
