passage_id,firm,year,page_number,passage_text,classification,human_label
da158643,HelloFresh,2025,210,"In addition to our Code of Ethics, we have implemented further Group-wide compliance policies specifying our standards and expectations regarding ethical trading, anti-corruption and bribery, competition laws, capital market compliance, information security, and Generative Artificial Intelligence. U",Transitional, Symbolic
569d0bec,Zalando,2025,9,"Zalando’s strategy will continue to position the company as an integral player in both the consumer and business markets, driving sustained growth and innovation. The strategy enables the company to drive change and shape the industry in an environment where artificial intelligence, geopolitical dyn",Transitional, Symbolic
c453af1d,THG,2025,26,"The platform provides and we recognise that having an effective, brands, customers and partners on responsible independently validated evidence of confidential process for employees to raise marketing practices, including the ethical compliance within our suppliers’ operations any concerns is a vita",Transitional, Symbolic
cfc9b248,Allegro,2023,164,"It is also interested in topics such as reranking and features interaction architectures and personalization. Big numbers At MLR Computer Vision, the primary objective is to elevate the user experience by leveraging machine learning image processing algorithms. The team specifically concentrated on ",Substantive, Transitional
6e401e5d,Zalando,2025,13,"members of the supervisory board committees. Additionally, the supervisory board reviewed the status and anticipated next steps regarding the voluntary public takeover offer by Zalando to the shareholders of ABOUT YOU Holding SE. Further, our CPO Dr Astrid Arndt gave an update on the area of people,",Transitional, Symbolic
907946ff,Allegro,2023,104,"requirements. tablished a complex verification process in vendor that it may be prudent to focus on other priorities in creation which scope depends on yearly turnover. In the short term immediately after an acquisition, such • Content created by artificial intelligence does • The use of various unv",Symbolic, Symbolic
9af11ea0,Allegro,2025,73,"cease and desist the infringement, forced public apology etc. • Mall Group inability to succeed in transforming into a lean merchant that can source the right products and trade effectively on the Allegro marketplaces. This could lead to • Content created by artificial intelligence does not have own",Symbolic, Symbolic
87de711c,Zalando,2025,185,"We work with multiple producer responsibility organisations across our markets to ensure responsible collection, recycling and disposal of products and packaging. We are currently developing a scalable EPR solution, which is not yet applicable to ABOUT YOU. As a crucial first step towards achieving ",Substantive, Symbolic
00b389ab,Moonpig,2024,103,"Additional training is available on request, where appropriate, so that Directors can update their skills and knowledge as applicable. During FY24, the Board requested training on artificial intelligence, which was delivered during the year. No other training needs were identified during this year’s",Symbolic, Symbolic
ee522d88,Boozt,2024,16,"A significant improvement in 2024 has been the installation proprietary approach ensures full control over performance, of transfer cells at the BFC. The fulfilment centre is scalability, and innovation, enabling Boozt to swiftly adapt to Boozt.com: The Nordic Department Store organized around three",Transitional, Symbolic
e55f892e,Mytheresa,2025,31,"We also continuously invest in and implement, significant modifications and upgrades to our information technology systems and procedures, including replacing legacy systems with successor systems, making changes to legacy systems or acquiring new systems with new functionality, hiring employees wit",Symbolic, Symbolic
6d8df2b6,Mytheresa,2023,29,"New technologies, including those based on artificial intelligence, can provide more immediate information technology and data management solutions and responses than traditional tools. Over time, the accuracy of these tools and their ability to handle complex tasks will improve, which may be disrup",Symbolic, Symbolic
a0f066ce,HelloFresh,2025,48,"A key structural factor influencing the macroeconomic environment is the increasing scale of investment related to artificial intelligence. AI-related capital expenditure is expected to remain an important driver of business investment and productivity growth, particularly in the United States1,2. H",Symbolic, Symbolic
bab12905,Allegro,2021,115,"Rules regulating platforms’ Average time it takes to receive a refund – SMART! services users 12h 12h 12h kupy w sieci) obligations, taxes, innovative payment solutions, the use of artificial intelligence and data should allow • My Sales Quality – transparent feedback from us to innovate and develop",Symbolic, Symbolic
5a80b553,AO World,2024,25,"We will continue our application modernisation agenda, replacing other key systems such as our Contact Centre platform, which will help us to further digitalise and enhance our customers’ post-sales experience. Information is vital to the effective and efficient operation of our business and, as suc",Symbolic, Symbolic
892b64ae,Moonpig,2024,103,"All Directors are required to complete our annual compliance training modules covering a range of subjects including anti-bribery and anti-corruption, anti-money laundering, data protection and anti-modern slavery. Additional training is available on request, where appropriate, so that Directors can",Transitional, Symbolic
